,date,station_name,count(card_id)
573,2020-01-11,(10000) Portal 20 de Julio - alimentacion,8690
574,2020-01-29,(10000) Portal 20 de Julio - alimentacion,12151
575,2020-01-07,(10000) Portal 20 de Julio - alimentacion,9424
576,2020-04-12,(10001) Country Sur,180
577,2020-08-11,(10002) Av. Primero de Mayo,2346
578,2020-02-03,(10002) Av. Primero de Mayo,9252
579,2020-08-31,(10002) Av. Primero de Mayo,2406
580,2020-07-11,(10003) Ciudad Jardín,191
581,2020-05-07,(10009) Museo Nacional,92
582,2020-07-28,(10010) San Bernardo,538
583,2020-07-03,(10010) San Bernardo,646
